Remaining_Over,Wickets.in.Hand,y,rw,y_pred
6,0,0.0,0.002967359050445104,0.002967359050445104
6,1,13.385714285714286,9.0984375,9.097780351508307
6,2,23.21875,19.539641943734015,19.309200586942744
6,3,35.607594936708864,35.13916061849164,32.164065532149046
6,4,43.14342629482072,52.43465909090909,42.411111917693205
6,5,47.88278388278388,71.706909416505,50.32250559753189
6,6,55.00420168067227,96.24180041870203,57.17064880666237
6,7,56.41346153846154,123.93395577395577,62.39326882037943
6,8,59.58974358974359,156.65762834417933,66.61857265575983
6,9,56.25,188.47190275829826,69.53238963266674
6,10,49.0,226.8582864560796,72.09695444179617
7,0,0.0,0.002967359050445104,0.002967359050445104
7,1,13.225806451612904,9.0984375,9.098303394589877
7,2,22.285714285714285,19.539641943734015,19.429698907277967
7,3,38.689189189189186,35.13916061849164,33.167710641293866
7,4,47.39055793991416,52.43465909090909,44.826925950745554
7,5,52.705882352941174,71.706909416505,54.22777841371304
7,6,61.229007633587784,96.24180041870203,62.62123928095794
7,7,63.895161290322584,123.93395577395577,69.17047916726153
7,8,67.07843137254902,156.65762834417933,74.55743833233643
7,9,71.66666666666667,188.47190275829826,78.31642968205196
7,10,58.0,226.8582864560796,81.6536687999525
8,0,0.0,0.002967359050445104,0.002967359050445104
8,1,13.132075471698114,9.0984375,9.098410132880922
8,2,23.285714285714285,19.539641943734015,19.48718837622562
8,3,42.529411764705884,35.13916061849164,33.83277715853605
8,4,51.48341232227488,52.43465909090909,46.660495261302096
8,5,57.51590106007067,71.706909416505,57.41986063089924
8,6,66.62857142857143,96.24180041870203,67.31144939038792
8,7,68.95270270270271,123.93395577395577,75.20134457781666
8,8,73.80597014925372,156.65762834417933,81.79632345326587
8,9,74.08333333333333,188.47190275829826,86.45174200789504
8,10,68.0,226.8582864560796,90.62024356616627
9,0,0.0,0.002967359050445104,0.002967359050445104
9,1,12.46938775510204,9.0984375,9.098431915145474
9,2,24.743589743589745,19.539641943734015,19.51461646842383
9,3,43.58914728682171,35.13916061849164,34.27348420560524
9,4,56.026595744680854,52.43465909090909,48.05214891121777
9,5,62.308243727598565,71.706909416505,60.02899688357217
9,6,70.6159169550173,96.24180041870203,71.3473554035694
9,7,75.03954802259886,123.93395577395577,80.56805679989826
9,8,81.44594594594595,156.65762834417933,88.3969462536519
9,9,80.42105263157895,188.47190275829826,93.98623709978003
9,10,88.0,226.8582864560796,99.03312063091644
10,0,0.0,0.002967359050445104,0.002967359050445104
10,1,12.789473684210526,9.0984375,9.09843636028924
10,2,26.43243243243243,19.539641943734015,19.527702347549248
10,3,44.57657657657658,35.13916061849164,34.565519207069194
10,4,57.8054054054054,52.43465909090909,49.10839471014848
10,5,65.5539033457249,71.706909416505,62.161646208317
10,6,75.46666666666667,96.24180041870203,74.82023550215713
10,7,80.4039408866995,123.93395577395577,85.34375615877171
10,8,86.3409090909091,156.65762834417933,94.4155831880894
10,9,89.84,188.47190275829826,100.96428711382863
10,10,95.66666666666667,226.8582864560796,106.92649155035456
11,0,0.0,0.002967359050445104,0.002967359050445104
11,1,15.290322580645162,9.0984375,9.098437267417287
11,2,26.794520547945204,19.539641943734015,19.533945590106825
11,3,44.18446601941748,35.13916061849164,34.759036516690664
11,4,61.589595375722546,52.43465909090909,49.910070606896475
11,5,68.58846153846154,71.706909416505,63.904825828651205
11,6,80.41830065359477,96.24180041870203,77.80863417640158
11,7,84.58078602620087,123.93395577395577,89.59352835123293
11,8,93.17171717171718,156.65762834417933,99.90354873983348
11,9,96.70370370370371,188.47190275829826,107.42698718924689
11,10,98.0,226.8582864560796,114.33243650738821
12,0,0.0,0.002967359050445104,0.002967359050445104
12,1,13.62962962962963,9.0984375,9.09843745253645
12,2,29.43076923076923,19.539641943734015,19.53692422664008
12,3,44.73118279569893,35.13916061849164,34.887270971243716
12,4,62.83435582822086,52.43465909090909,50.51853148226972
12,5,71.16929133858268,71.706909416505,65.32966166710395
12,6,83.23102310231023,96.24180041870203,80.38013862881782
12,7,90.00803212851406,123.93395577395577,93.37529146709147
12,8,98.1774193548387,156.65762834417933,104.90763292454342
12,9,103.48571428571428,188.47190275829826,113.41239746586064
12,10,107.14285714285714,226.8582864560796,121.28105469173646
13,0,0.0,0.002967359050445104,0.002967359050445104
13,1,11.04,9.0984375,9.098437490314032
13,2,30.82758620689655,19.539641943734015,19.538345327216494
13,3,45.05494505494506,35.13916061849164,34.972245671267636
13,4,65.27564102564102,52.43465909090909,50.980344838966374
13,5,74.9,71.706909416505,66.4942904539814
13,6,86.3883495145631,96.24180041870203,82.59290736204859
13,7,94.76404494382022,123.93395577395577,96.74058532680426
13,8,103.30935251798562,156.65762834417933,109.47050021872789
13,9,106.65957446808511,188.47190275829826,118.95576722792948
13,10,113.57142857142857,226.8582864560796,127.80058662884574
14,0,0.0,0.002967359050445104,0.002967359050445104
14,1,13.0,9.0984375,9.098437498023367
14,2,26.92156862745098,19.539641943734015,19.539023331003037
14,3,47.81521739130435,35.13916061849164,35.02855424815768
14,4,67.17808219178082,52.43465909090909,51.33085476500327
14,5,77.83478260869565,71.706909416505,67.44623184583786
14,6,91.30847457627118,96.24180041870203,84.4969855222723
14,7,97.45229681978799,123.93395577395577,99.73527389276157
14,8,108.81875,156.65762834417933,113.63105331412812
14,9,115.41176470588235,188.47190275829826,124.08974249426726
14,10,113.77777777777777,226.8582864560796,133.9175289548364
15,0,0.0,0.002967359050445104,0.002967359050445104
15,1,8.6,9.0984375,9.098437499596624
15,2,30.522727272727273,19.539641943734015,19.539346805035905
